Country,Export,Import,Total Trade,Trade Balance,FinancialYearStart,FinancialYearEnd
KAZAKHSTAN,202.59,2255.70,2458.29,-2053.12,2019,2020
KENYA,2108.58,89.62,2198.20,2018.96,2019,2020
KIRIBATI REP,0.39,,,,2019,2020
KOREA DP RP,8.97,3.47,12.44,5.5,2019,2020
KOREA RP,4845.15,15659.70,20504.85,-10814.55,2019,2020
KUWAIT,1286.56,9573.80,10860.36,-8287.24,2019,2020
KYRGHYZSTAN,29.13,1.33,30.46,27.8,2019,2020
LAO PD RP,25.08,3.09,28.18,21.99,2019,2020
LATVIA,119.25,265.54,384.79,-146.29,2019,2020
LEBANON,203.97,30.94,234.91,173.04,2019,2020
LESOTHO,40.78,0.04,40.83,40.74,2019,2020
LIBERIA,219.52,7.75,227.27,211.77,2019,2020
LIBYA,184.4,43.09,227.49,141.31,2019,2020
LIECHTENSTEIN,4.36,0.42,4.77,3.94,2019,2020
LITHUANIA,110.76,262.09,372.86,-151.33,2019,2020
LUXEMBOURG,20.34,54.35,74.7,-34.01,2019,2020
MACAO,6.28,5.09,11.37,1.19,2019,2020
MACEDONIA,22.61,14.51,37.12,8.09,2019,2020
MADAGASCAR,301.73,119.24,420.97,182.5,2019,2020
MALAWI,185.09,31.76,216.85,153.33,2019,2020
MALAYSIA,6364.66,9782.28,16146.94,-3417.62,2019,2020
MALDIVES,226.57,6,232.57,220.58,2019,2020
MALI,146.14,38.07,184.21,108.07,2019,2020
MALTA,208.2,121.9,330.1,86.3,2019,2020
MARSHALL ISLAND,32.53,3.61,36.13,28.92,2019,2020
MARTINIQUE,3.81,0.29,4.1,3.52,2019,2020
MAURITANIA,83.83,10.7,94.53,73.14,2019,2020
MAURITIUS,662.13,27.89,690.02,634.23,2019,2020
MAYOTTE,3.13,0.36,3.49,2.78,2019,2020
MEXICO,3623.71,4296.80,7920.51,-673.08,2019,2020
MICRONESIA,0.53,,,,2019,2020
MOLDOVA,8.71,0.25,8.96,8.45,2019,2020
MONACO,1.96,61.5,63.47,-59.54,2019,2020
MONGOLIA,16.27,1.3,17.56,14.97,2019,2020
MONTENEGRO,19.96,0.16,20.12,19.8,2019,2020
MONTSERRAT,0.06,,,,2019,2020
MOROCCO,799.45,952.54,1751.99,-153.09,2019,2020
MOZAMBIQUE,2174.31,835.07,3009.38,1339.24,2019,2020
MYANMAR,973.89,547.25,1521.13,426.64,2019,2020
N. MARIANA IS.,0.15,0,0.15,0.15,2019,2020
NAMIBIA,66.18,28.54,94.72,37.63,2019,2020
NAURU RP,0.14,0.07,0.21,0.07,2019,2020
NEPAL,7160.35,711.61,7871.95,6448.74,2019,2020
NETHERLANDS,8366.11,3390.97,11757.08,4975.15,2019,2020
NETHERLANDANTIL,30,22.76,52.76,7.25,2019,2020
NEW CALEDONIA,15.2,0.23,15.43,14.97,2019,2020
NEW ZEALAND,378.55,521.83,900.38,-143.27,2019,2020
NICARAGUA,65.52,3.6,69.11,61.92,2019,2020
NIGER,73.6,0.9,74.5,72.69,2019,2020
NIGERIA,3609.91,10213.61,13823.51,-6603.70,2019,2020
NIUE IS,0.08,,,,2019,2020
NORFOLK IS,0.33,0.45,0.78,-0.11,2019,2020
NORWAY,421.61,630.79,1052.40,-209.18,2019,2020
OMAN,2261.81,3669.33,5931.14,-1407.52,2019,2020
PAKISTAN,816.62,13.97,830.58,802.65,2019,2020
PALAU,0.05,0,0.06,0.05,2019,2020
PANAMA C Z,0.01,,,,2019,2020
PANAMA REPUBLIC,238.52,75.83,314.35,162.7,2019,2020
PAPUA N GNA,56.02,55.7,111.71,0.32,2019,2020
PARAGUAY,126.96,25.28,152.24,101.68,2019,2020
PERU,764,1575.09,2339.09,-811.09,2019,2020
PHILIPPINES,1526.03,523.83,2049.87,1002.20,2019,2020
PITCAIRN IS.,0.02,0.02,0.04,0,2019,2020
POLAND,1548.11,849.58,2397.68,698.53,2019,2020
PORTUGAL,744.79,141.82,886.6,602.97,2019,2020
PUERTO RICO,134.44,52.45,186.89,81.99,2019,2020
QATAR,1268.35,9685.98,10954.33,-8417.63,2019,2020
REUNION,40.15,18.52,58.67,21.63,2019,2020
ROMANIA,366.89,261.34,628.24,105.55,2019,2020
RUSSIA,3017.67,7093.01,10110.68,-4075.34,2019,2020
RWANDA,124.05,4.1,128.15,119.95,2019,2020
SAHARWI A.DM RP,0,,,,2019,2020
SAMOA,4.25,3,7.25,1.26,2019,2020
SAN MARINO,0.25,0.15,0.4,0.09,2019,2020
SAO TOME,1.5,,,,2019,2020
SAUDI ARABIA,6236.86,26857.37,33094.24,-20620.51,2019,2020
SENEGAL,477.1,469.47,946.56,7.63,2019,2020
SERBIA,83.68,11.51,95.18,72.17,2019,2020
SEYCHELLES,66.64,4.71,71.35,61.94,2019,2020
SIERRA LEONE,115.37,24.49,139.86,90.88,2019,2020
SINGAPORE,8922.66,14746.78,23669.44,-5824.11,2019,2020
SINT MAARTEN (DUTCH PART),0.08,,,,2019,2020
SLOVAK REP,138.42,54.84,193.25,83.58,2019,2020
SLOVENIA,332.55,248.43,580.99,84.12,2019,2020
SOLOMON IS,2.04,38.97,41.01,-36.93,2019,2020
SOMALIA,583.87,15.05,598.92,568.82,2019,2020
SOUTH AFRICA,4108.17,6969.79,11077.97,-2861.62,2019,2020
SOUTH SUDAN,20.05,7.33,27.37,12.72,2019,2020
SPAIN,3945.44,1613.17,5558.61,2332.26,2019,2020
SRI LANKA,3800.91,903.69,4704.61,2897.22,2019,2020
ST HELENA,0.33,0.01,0.35,0.32,2019,2020
ST KITT N A,2.56,,,,2019,2020
ST LUCIA,3.24,0.61,3.85,2.62,2019,2020
ST VINCENT,0.69,,,,2019,2020
STATE OF PALEST,1.09,0.74,1.83,0.35,2019,2020
SUDAN,1096.88,396.75,1493.63,700.12,2019,2020
SURINAME,31.12,55.07,86.19,-23.95,2019,2020
SVALLBARD AND J,0,,,,2019,2020
SWAZILAND,18.57,7.03,25.61,11.54,2019,2020
SWEDEN,748.42,1114.48,1862.90,-366.06,2019,2020
SWITZERLAND,1200.08,16899.89,18099.96,-15699.81,2019,2020
SYRIA,159.33,15.34,174.67,143.99,2019,2020
TAIWAN,1674.52,4046.23,5720.75,-2371.71,2019,2020
TAJIKISTAN,23.5,0.29,23.8,23.21,2019,2020
TANZANIA REP,1740.08,1023.47,2763.56,716.61,2019,2020
THAILAND,4299.30,6788.38,11087.67,-2489.08,2019,2020
TIMOR LESTE,6.33,,,,2019,2020
TOGO,1040.60,383.54,1424.14,657.06,2019,2020
TOKELAU IS,0,0.08,0.08,-0.08,2019,2020
TONGA,0.66,,,,2019,2020
TRINIDAD,85.11,84.42,169.53,0.68,2019,2020
TUNISIA,245.02,131.13,376.15,113.9,2019,2020
TURKEY,4969.47,2116.56,7086.03,2852.92,2019,2020
TURKMENISTAN,33.9,3.99,37.89,29.91,2019,2020
TURKS C IS,0.64,0.01,0.65,0.63,2019,2020
TUVALU,0,,,,2019,2020
U ARAB EMTS,28853.59,30256.65,59110.23,-1403.06,2019,2020
U K,8737.85,6712.63,15450.49,2025.22,2019,2020
U S A,53088.77,35819.87,88908.65,17268.90,2019,2020
UGANDA,621.52,33.98,655.5,587.54,2019,2020
UKRAINE,463.81,2060.79,2524.60,-1596.98,2019,2020
UNION OF SERBIA & MONTENEGRO,,,,,2019,2020
UNSPECIFIED,2546.99,123.49,2670.47,2423.50,2019,2020
URUGUAY,147.69,57.24,204.93,90.45,2019,2020
US MINOR OUTLYING ISLANDS,0.4,0.4,0.8,0,2019,2020
UZBEKISTAN,180.21,66.85,247.06,113.36,2019,2020
VANUATU REP,2.42,0.26,2.67,2.16,2019,2020
VATICAN CITY,0.03,0.18,0.21,-0.15,2019,2020
VENEZUELA,339.71,6057.01,6396.72,-5717.30,2019,2020
VIETNAM SOC REP,5059.90,7283.42,12343.32,-2223.53,2019,2020
VIRGIN IS US,81.4,7.5,88.9,73.89,2019,2020
WALLIS F IS,0.02,,,,2019,2020
YEMEN,721.25,22.73,743.98,698.52,2019,2020
ZAMBIA,247.64,843.32,1090.95,-595.68,2019,2020
ZIMBABWE,161.13,13.59,174.72,147.54,2019,2020
